ronda,partido,equipo_1,equipo_2,p_gana_1,p_empate,p_gana_2
16avos,1.0,Paraguay,Francia,0.18838353830301655,0.23673195512980472,0.5748845065671788
16avos,2.0,Canadá,Marruecos,0.40415333653047797,0.25405752127321496,0.3417891421963072
16avos,3.0,Portugal,España,0.3618239229585607,0.24862590589550956,0.38955017114592966
16avos,4.0,Estados Unidos,Bélgica,0.37602264836183774,0.22738145480549635,0.3965958968326658
16avos,5.0,Brasil,Noruega,0.5184752601825912,0.2224285402200092,0.2590961995973996
16avos,6.0,México,Inglaterra,0.43940703442825985,0.24466349755822528,0.31592946801351485
16avos,7.0,Argentina,Egipto,0.4798146882914916,0.2527108172085122,0.2674744944999962
16avos,8.0,Suiza,Colombia,0.3896164745892585,0.27626104682736774,0.33412247858337385
