ronda,partido,equipo_1,equipo_2,p_gana_1,p_empate,p_gana_2
Cuartos,1.0,Francia,Marruecos,0.49599899996730634,0.2110406032849723,0.29296039674772145
Cuartos,2.0,España,Bélgica,0.4165892126747256,0.24482798405750175,0.3385828032677727
Cuartos,3.0,Noruega,Inglaterra,0.31475628327307925,0.2169895385985584,0.4682541781283623
Cuartos,4.0,Argentina,Suiza,0.438228371267432,0.23227503423912527,0.32949659449344276
